run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_learning_rate,param_max_depth,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda
103,103,xgb,random,0.6506000000000001,0.009562426470305545,0.6533001444877818,0.011132173020730895,0.6350456150557966,0.010152759313138481,0.6439848116623355,0.008745423339754766,316.0,5.138093031466052,167.8,7.984985911070851,363.0,0.06886410240927554,6.0,0.5854718426387511,0.9138161238103206,6.0,0.4809718091737758,0.6774463031095974
104,104,xgb,random,0.6764,0.02571069816243812,0.6772672944560215,0.029624667154830493,0.6696112417476747,0.019741809007603833,0.6732993883763665,0.023404839956664807,333.2,9.86711710683521,159.2,17.83704011320264,169.0,0.04865121226195061,6.0,0.9037466810251883,0.6492372877700416,9.0,0.9990267438600756,0.6862460286235736
105,105,xgb,random,0.675,0.010488088481701498,0.6746925882608003,0.010241676128230424,0.6700201207243459,0.023350993581483088,0.6721457389359594,0.013786484641361776,333.4,11.568923891183655,160.8,8.084553172563094,292.0,0.07923980012555377,4.0,0.9296778725443235,0.5528434176595423,1.0,0.7344198008156535,1.1983537718181994
106,106,xgb,random,0.6481999999999999,0.011906300852909783,0.6511939633639392,0.013532511380761723,0.631426308857159,0.018973945293182883,0.6410111820978738,0.013425382190001058,314.2,9.516301802696255,168.4,9.520504188329523,395.0,0.10144038280423547,7.0,0.8051093858635581,0.926029908737652,6.0,0.9968964530112713,0.526100037358133
107,107,xgb,random,0.6454000000000001,0.013763720427268214,0.6477432282171642,0.016336472128482323,0.6306263282506283,0.008862206138364366,0.6390371073798471,0.01211565335291997,313.8,4.445222154178573,170.8,9.947864092356712,162.0,0.17865872311008818,9.0,0.7817009243238886,0.6126322071843793,7.0,0.38534581029781123,0.5345593742309691
108,108,xgb,random,0.6516,0.007088018058667747,0.6543431104288907,0.010514147201233807,0.6370528391230921,0.032681039420294135,0.644969578068506,0.01452733194870331,317.0,16.30950643030009,167.8,14.496896219536099,199.0,0.1660827953007679,6.0,0.7900444701755276,0.5645571432898695,3.0,0.32222699883338013,1.0335838328778142
109,109,xgb,random,0.6596,0.01063202708800162,0.6627347585252957,0.00906455426906716,0.6430785516310715,0.021651132399881683,0.6526345105049746,0.014328023883836982,320.0,10.89954127475097,162.8,5.491812087098392,362.0,0.12530708434964685,8.0,0.8496417980729397,0.5972846241030003,5.0,0.08857352813998931,1.182780464963317
110,110,xgb,random,0.6528,0.012890306435457627,0.6548058409842603,0.015432998855177273,0.6406640647095424,0.02838987118926328,0.6472016392815001,0.01591476582962441,318.8,14.2464030548065,168.4,14.880860190190619,228.0,0.1519279911277317,8.0,0.9778001107751674,0.927166330365429,1.0,0.6824631292225899,2.4100199919752088
111,111,xgb,random,0.6494000000000001,0.011377170122662324,0.655769643784162,0.008651854767912208,0.6214006933165257,0.02201741836373148,0.6380253424339013,0.0153939629530476,309.2,10.703270528207723,162.2,3.059411708155671,312.0,0.09540885290567552,4.0,0.648857989517321,0.6889312198354414,8.0,0.022478324544161765,1.3404489845291154
112,112,xgb,random,0.6648,0.015038616957685984,0.667666424277867,0.013380203958713192,0.6494969818913481,0.029824324904865005,0.6582205897272024,0.019844527621544247,323.2,15.065191668213185,160.8,8.034923770640267,200.0,0.13613633130524821,5.0,0.9750082897025836,0.5378386023510308,8.0,0.6089615362342131,1.0053604402364154
113,113,xgb,random,0.6748000000000001,0.016412190591142888,0.6785203072290134,0.016379683766936697,0.6583638376443399,0.02099875931983336,0.6682269440030115,0.01782943684093304,327.6,10.403845442911962,155.2,8.328265125462805,265.0,0.04847894274507119,5.0,0.9474658813493118,0.7182467737893041,1.0,0.5758578744249331,2.1809418394591447
114,114,xgb,random,0.6814,0.01005186549850323,0.6869844806291892,0.012146914139437548,0.6611750826242597,0.007923737393145228,0.6737980786739493,0.008884284558869136,329.0,3.8987177379235853,150.0,7.615773105863909,174.0,0.048962816374836786,5.0,0.9629418815241304,0.7442065888253218,9.0,0.00941220195459147,1.258646564680408
115,115,xgb,random,0.6618,0.011285388783732718,0.6668954107702897,0.016984301310711273,0.6418632275581198,0.021169111195157984,0.653748445175608,0.01102038731965819,319.4,10.799999999999999,160.0,14.737706741552431,374.0,0.07373504262727618,5.0,0.7068458667341254,0.7884003743629017,6.0,0.49465065591439905,0.5324518914985386
