run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion,param_class_weight
75,75,extra,random,0.618,0.012930583900195702,0.6487140382095424,0.014244637351008792,0.5064055012807771,0.03385014582895044,0.5682751084709037,0.023988332537848937,252.0,17.029386365926403,136.4,9.748846085563153,298.0,9.0,2.0,4.0,entropy,
76,76,extra,random,0.6058,0.016821414922651438,0.636175539122841,0.02322973354999252,0.48592842193724595,0.018356104473346967,0.5508928407825049,0.019192440992801804,241.8,9.195651146058118,138.4,10.669582934679312,211.0,7.0,9.0,8.0,entropy,
77,77,extra,random,0.6112,0.025678006153126477,0.6345493097184451,0.03834788158488296,0.5221093630053414,0.00837394094378075,0.5724022520372716,0.017965039105382743,259.8,4.06939798987516,151.0,24.14125100321025,265.0,14.0,9.0,5.0,entropy,
78,78,extra,random,0.6049999999999999,0.010334408546211059,0.6473089710689287,0.017553579677222157,0.4537756660444595,0.010776234973624637,0.5334243700648762,0.011109126108715563,225.8,5.418486873657626,123.2,8.908422980528035,247.0,5.0,8.0,8.0,gini,
79,79,extra,random,0.6073999999999999,0.012240914998479496,0.6580076904893133,0.0114363782646788,0.4389299653341737,0.03165963554344518,0.5260637894476761,0.024926420701411284,218.4,15.589740215924062,113.4,7.059745037889116,393.0,4.0,7.0,4.0,entropy,
80,80,extra,random,0.6187999999999999,0.01233531515608743,0.6598773701880742,0.022221515306822783,0.4847381477620745,0.0169645523107813,0.5585409659430831,0.012685801314186358,241.2,8.28009661779378,124.8,13.746272221951665,225.0,6.0,6.0,7.0,entropy,
81,81,extra,random,0.6266,0.014853955702101728,0.657290278459906,0.01838577345943255,0.5212859486234677,0.019482245146870737,0.5813833881828488,0.01857256271709586,259.4,9.911609354691093,135.2,7.11055553385247,373.0,10.0,3.0,9.0,entropy,
82,82,extra,random,0.6,0.010583005244258372,0.6488365266774854,0.014765257201686617,0.42764458235355907,0.023283766911325603,0.515192783146744,0.019107552649429475,212.8,11.668761716651858,115.2,8.084553172563094,181.0,4.0,4.0,4.0,entropy,
83,83,extra,random,0.6126,0.01410815367083873,0.6261672156060336,0.01804775634709012,0.5502331256616001,0.01344482964398257,0.5856838883458284,0.01422712626424696,273.8,6.8527366796047255,163.6,9.93176721434811,132.0,9.0,9.0,9.0,entropy,balanced
84,84,extra,random,0.6158,0.009682974749528171,0.6355369483338423,0.01443159902990083,0.5357680217853303,0.024596806035157945,0.5809546672570665,0.014532908709535084,266.6,12.289833196589774,153.2,12.952219886953742,476.0,13.0,3.0,9.0,entropy,balanced
85,85,extra,random,0.6128,0.008818163074019449,0.6599125385312121,0.013902517881015642,0.4581876802986594,0.02067756699264018,0.5405579907775298,0.01594009919420135,228.0,10.411532067856296,117.6,8.309031231136395,412.0,5.0,2.0,5.0,gini,
86,86,extra,random,0.6006,0.01908507270093569,0.6190349976272318,0.022796090087126488,0.5140756183688475,0.03051518433117177,0.5612818734594267,0.024155044604433316,255.8,15.118200951171406,157.6,14.44437606821423,198.0,14.0,2.0,4.0,gini,
87,87,extra,random,0.6115999999999999,0.01287788802560421,0.6320570120628887,0.016189085137180887,0.5253197902273077,0.013816887623939747,0.573735857349219,0.014333405195134789,261.4,6.916646586316233,152.2,7.413501197140255,383.0,4.0,5.0,7.0,gini,balanced
88,88,extra,random,0.612,0.019036806454865288,0.6500313360728254,0.02574272002389959,0.4779237675046262,0.032486577543354496,0.5503142258036118,0.026676508507567375,237.8,15.942396306703706,128.2,13.377593206552515,338.0,8.0,9.0,2.0,gini,
89,89,extra,random,0.6216,0.017715529910222856,0.6517474151101097,0.018157442500590096,0.5141006682666279,0.0393304739208241,0.5741361589149697,0.028874212382665847,255.8,19.35355264544471,136.6,10.781465577554844,453.0,3.0,8.0,5.0,entropy,balanced
90,90,extra,random,0.6118,0.018421726303471143,0.6533754116344481,0.028051784846115816,0.46986739715400844,0.014234355144177677,0.5464988646916498,0.017922596552138993,233.8,6.881860213634101,124.4,13.484806264830059,397.0,5.0,7.0,3.0,gini,
91,91,extra,random,0.6292000000000001,0.010961751684835786,0.654603894731222,0.014250581078682193,0.5397727731852966,0.022495971821883773,0.5914233455439418,0.01599121798450936,268.6,11.412274094149684,141.8,8.885943956609225,228.0,3.0,8.0,3.0,gini,balanced
92,92,extra,random,0.6228,0.024943135328182004,0.6455617290136854,0.031248947263539995,0.5377671652404385,0.024863853252033868,0.586598927543106,0.02609152992855859,267.6,12.531560158256434,147.2,15.892136420255145,172.0,8.0,4.0,4.0,entropy,balanced
93,93,extra,random,0.6294,0.015120846537148652,0.6533636181080749,0.018699035694631775,0.5437961099932931,0.020565989937464054,0.5934441232163631,0.01820153719668094,270.6,10.423051376636305,143.6,9.046546302318914,471.0,9.0,5.0,5.0,entropy,balanced
94,94,extra,random,0.6058,0.015689486925964162,0.6228255359337782,0.018994071545685644,0.5273423674577586,0.01326036919664723,0.5711067753272079,0.015594819225825549,262.4,6.37495098020369,159.0,9.252026804976301,237.0,10.0,4.0,1.0,gini,balanced
95,95,extra,random,0.6085999999999999,0.013922643427165702,0.6311674183616682,0.020294282307712398,0.5148764070365971,0.008658438363438851,0.5670252075236986,0.011915909422861961,256.2,4.166533331199932,150.0,11.50651989091402,456.0,14.0,3.0,4.0,gini,
96,96,extra,random,0.613,0.018187908071023468,0.6447117193708267,0.025573911763158718,0.49598231962053435,0.018157592940762347,0.5605388054798113,0.019724855028229304,246.8,9.019977827023745,136.2,11.923086848631105,134.0,7.0,4.0,7.0,entropy,
97,97,extra,random,0.6134000000000001,0.02588899380045507,0.648718641613632,0.03404998200039179,0.4871170799899801,0.031987212360091735,0.5561305187072334,0.03101545880757289,242.4,16.0822883943797,131.4,15.291827882892221,140.0,5.0,5.0,4.0,entropy,
98,98,extra,random,0.5880000000000001,0.014310835055998667,0.6099640483673665,0.015228841774508499,0.4758785645600511,0.026366718773172627,0.5344773053991796,0.021869277968335796,236.8,13.181805642627264,151.2,4.955804677345546,92.0,7.0,6.0,2.0,gini,
99,99,extra,random,0.617,0.012569805089976547,0.6358837915246323,0.01782665737497978,0.5402058939985294,0.017425978430204957,0.583917725977864,0.01322854234275352,268.8,8.471127433818948,154.2,12.089665007765932,179.0,8.0,5.0,9.0,entropy,balanced
100,100,extra,random,0.5968,0.008494704232638128,0.6402119775552382,0.014325231715990658,0.4336743351676323,0.013887542377320112,0.5169224074697001,0.011749353028967067,215.8,7.025667228100119,121.4,7.914543574963752,58.0,4.0,2.0,4.0,entropy,
101,101,extra,random,0.6138,0.010906878563548794,0.6443499957949058,0.014695256631088043,0.4999975758163438,0.018129101801551948,0.5629043690326118,0.014626228173124034,248.8,9.064215354899728,137.4,8.212186067059124,401.0,11.0,5.0,2.0,gini,
102,102,extra,random,0.6216,0.01330563790278393,0.644478585152678,0.019042243667077352,0.5357898394382359,0.02720289989163134,0.5846488471302973,0.017635025694157463,266.6,13.350655414622908,147.4,13.484806264830059,306.0,4.0,5.0,3.0,entropy,balanced
103,103,extra,random,0.6094,0.009264987857520383,0.6246686098576184,0.008701513961745018,0.5381752361558911,0.018150647747318855,0.5781401315245518,0.014021787965835055,267.8,9.152048950918042,160.8,2.1354156504062622,313.0,13.0,3.0,4.0,entropy,balanced
104,104,extra,random,0.5878,0.011196428001822734,0.5940446611001443,0.011202616220923622,0.5417864617423416,0.022691672025536437,0.566544578325817,0.01579841703260247,269.6,11.46472851837321,184.2,7.70454411370329,119.0,,3.0,7.0,gini,balanced
105,105,extra,random,0.6108,0.015038616957685984,0.6261772193928594,0.014508128055529184,0.5397994392055142,0.038252332207100885,0.5792360992346351,0.0259047440679044,268.6,18.99052395275075,160.2,10.283968105745952,242.0,11.0,7.0,7.0,entropy,balanced
