score,k,N,thr,tp,fp,features,hp
5160,3,999,0.6520446434164868,717,282,"['V176', 'V255', 'V215']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5155,4,999,0.6919895688260034,730,269,"['V255', 'V191', 'V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5140,3,1000,0.6286253600346968,716,284,"['V255', 'V160', 'V215']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
5140,3,1000,0.7025750029337872,716,284,"['V176', 'V255', 'V191']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
5125,3,1000,0.6508412978458059,715,285,"['V255', 'V160', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5125,3,997,0.6249045483821128,714,283,"['V191', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5125,4,996,0.7102143632723035,727,269,"['V176', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5125,3,1000,0.6619656669393523,715,285,"['V176', 'V160', 'V215']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5120,4,997,0.6928942561113063,727,270,"['V191', 'V160', 'V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5110,3,1000,0.6544896399602154,714,286,"['V255', 'V191', 'V215']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5085,3,999,0.6089625658024379,712,287,"['V160', 'V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5085,3,999,0.6569225406973914,712,287,"['V176', 'V191', 'V215']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5060,4,1000,0.6616214086370935,724,276,"['V255', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5060,3,998,0.6085142593172271,710,288,"['V176', 'V255', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5050,3,1000,0.5670024819772738,710,290,"['V255', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
