score,k,N,thr,tp,fp,features,hp
5245,6,997,0.5377936686115452,762,235,"['V176', 'V191', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5245,4,996,0.5344292033341593,735,261,"['V176', 'V255', 'V160', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5245,3,1000,0.5293155691405999,723,277,"['V176', 'V191', 'V215']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5245,4,999,0.5295850307777461,736,263,"['V191', 'V160', 'V215', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5240,4,1000,0.530077281487784,736,264,"['V191', 'V160', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5235,5,1000,0.5370471601270994,749,251,"['V176', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5230,4,999,0.5401774172762442,735,264,"['V255', 'V160', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5230,3,1000,0.529494509451984,722,278,"['V176', 'V255', 'V215']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5230,3,1000,0.525773781216115,722,278,"['V255', 'V191', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5225,4,1000,0.5457313605755021,735,265,"['V176', 'V191', 'V215', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5225,4,1000,0.5439836053310567,735,265,"['V176', 'V191', 'V160', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5225,4,1000,0.5443475237988131,735,265,"['V176', 'V255', 'V160', 'V215']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5210,3,998,0.5291356139069312,720,278,"['V176', 'V255', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5210,4,1000,0.5445163792589708,734,266,"['V176', 'V255', 'V160', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5200,4,999,0.5301791091922289,733,266,"['V176', 'V215', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5200,3,1000,0.5282919631671752,720,280,"['V255', 'V191', 'V215']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5195,4,1000,0.5463089679986636,733,267,"['V176', 'V255', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5190,3,999,0.5300107542310346,719,280,"['V176', 'V191', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5185,4,999,0.5465141475055862,732,267,"['V176', 'V255', 'V215', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5180,4,1000,0.5446932092769999,732,268,"['V255', 'V191', 'V160', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5175,3,996,0.5221075195886523,717,279,"['V255', 'V160', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5165,4,1000,0.5397370353476633,731,269,"['V176', 'V160', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5165,4,1000,0.5453331351951662,731,269,"['V176', 'V255', 'V215', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5155,3,1000,0.5270410505732886,717,283,"['V176', 'V255', 'V160']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5155,3,997,0.525246418478215,716,281,"['V191', 'V160', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5150,4,997,0.5524393010358147,729,268,"['V176', 'V255', 'V191', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5140,4,999,0.544914040304248,729,270,"['V176', 'V191', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5135,4,1000,0.5194693479090413,729,271,"['V191', 'V215', 'V380', 'V342']","{'n_estimators': 158, 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 3, 'criterion': 'gini', 'class_weight': None}"
5125,3,1000,0.5245598474163196,715,285,"['V255', 'V215', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5125,3,1000,0.5279347162679604,715,285,"['V176', 'V191', 'V160']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5125,4,996,0.529422910683623,727,269,"['V255', 'V160', 'V215', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5115,4,998,0.5384768741879936,727,271,"['V191', 'V160', 'V215', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5110,3,1000,0.5176748943423268,714,286,"['V160', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5095,3,997,0.5243831311476802,712,285,"['V255', 'V160', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
