run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_colsample_bytree,param_reg_alpha,param_reg_lambda
115,115,lgbm,random,0.666,0.014028542333400158,0.6674183059219744,0.017465032879187943,0.6567388265334981,0.023574736791934912,0.6616978252049688,0.014472650608821387,326.8,11.923086848631105,163.2,14.034243834279065,374.0,0.07373504262727618,26.0,26.0,0.7884003743629017,0.7278717122573454,0.8810808064971258
116,116,lgbm,random,0.6666000000000001,0.019407215153133105,0.6641298645694385,0.020297374157050456,0.6684007660420352,0.028797291746686278,0.6659724194991519,0.02087608875470446,332.6,14.430523206037956,168.4,14.150618361046984,149.0,0.10604634876825417,62.0,41.0,0.6949045091268145,0.6202518794071722,0.6779330444037013
117,117,lgbm,random,0.6638,0.022139557357815434,0.6650168815746577,0.024292530565782528,0.6543251476731877,0.021027481320833503,0.6595463464156568,0.021491428847586952,325.6,10.707007051459337,164.2,14.105318146004363,212.0,0.07489996661157097,39.0,43.0,0.5203578143806888,0.9897162089613579,1.7137404538005918
118,118,lgbm,random,0.6706000000000001,0.012026637102698337,0.6707432808286974,0.012596135916403751,0.6643960146420692,0.021258718820347786,0.6673692664937946,0.013761543479482684,330.6,10.480458005259122,162.4,9.911609354691095,356.0,0.04711449799590322,29.0,12.0,0.6899014325493036,0.9863839815389219,1.8395527918763201
119,119,lgbm,random,0.674,0.017469974241537956,0.6752264277632583,0.017933924615959034,0.6647976210677721,0.026004804577093612,0.669774470985607,0.01922571153103759,330.8,12.859237924542807,159.2,11.01635148313633,126.0,0.0606071576410507,59.0,46.0,0.8154157441549342,0.056925165405689815,0.5855377655399634
120,120,lgbm,random,0.6691999999999999,0.012302845199383735,0.6694874991300489,0.014694308163275265,0.6627936292453517,0.012536559935630007,0.6660228924303294,0.010894882282915987,329.8,5.912698199637792,163.0,10.430723848324238,267.0,0.08483242628681525,30.0,30.0,0.7668362779575022,0.9592985286159484,2.404987124419548
121,121,lgbm,random,0.6652,0.0143443368616329,0.6619458003897554,0.012789459920323994,0.6684031902256915,0.024339274789368134,0.6650380091439023,0.017174028064801818,332.6,12.191800523302536,169.8,7.0823724838503095,364.0,0.1786814106624154,85.0,29.0,0.9150890691488169,0.40791941490448025,1.6115811996654688
122,122,lgbm,random,0.6654,0.013062924634246357,0.6638489729272969,0.011687267367803861,0.6635903776070076,0.025255192514501652,0.6635320869089345,0.016313972552494782,330.2,12.512393855693642,167.2,8.084553172563096,372.0,0.06323581897623679,79.0,44.0,0.9670044130946718,0.9206277520545487,0.999954703282909
123,123,lgbm,random,0.6628000000000001,0.00868101376568429,0.6627797898855248,0.012169836863690503,0.6571509377550443,0.014480139898979673,0.6597792036165535,0.0079462323330034,327.0,7.293833011524188,166.6,10.781465577554844,198.0,0.11269721536243368,77.0,32.0,0.7054621863545094,0.5796942970226101,0.7799015252607691
124,124,lgbm,random,0.66,0.012537942414925994,0.6593030516202438,0.012174367190673198,0.6555469362358892,0.02143233924247914,0.6572810101964185,0.014631397139530777,326.2,10.665833300778706,168.6,8.357032966310472,256.0,0.14182072273284196,86.0,10.0,0.7802080042090487,0.25477224792532105,0.8628665308350683
125,125,lgbm,random,0.6736000000000001,0.012846789482201356,0.6744488411742185,0.01588880212808472,0.6660056725897554,0.012300324380775801,0.6700775908595271,0.011048064975493146,331.4,5.885575587824865,160.2,11.651609330903607,257.0,0.03862960427521346,87.0,23.0,0.5655425748553515,0.7885440068182308,1.5133722218798455
126,126,lgbm,random,0.6838000000000001,0.009620810776644522,0.6858037762446942,0.009967042523272334,0.672830557643047,0.009848745671194597,0.6792466090498854,0.009617661600176202,334.8,4.874423042781576,153.4,5.314132102234569,211.0,0.049221610805100055,23.0,26.0,0.5577392813355209,0.7477276197510565,1.2660914402030914
127,127,lgbm,random,0.6834,0.012579348154813081,0.6819197760119726,0.012295151763851299,0.682086898903461,0.025440886865448775,0.6817609878877737,0.015272296740444693,339.4,12.483589227461787,158.4,9.308061022576078,301.0,0.03825204965468082,56.0,13.0,0.8863953239764543,0.5521488787070138,0.6725537981767742
128,128,lgbm,random,0.667,0.0190997382181013,0.6662293412534593,0.0190603347499896,0.6631928114873983,0.027230820396171255,0.6645130909346758,0.020701347004526454,330.0,13.446189051177289,165.4,11.689311356961968,310.0,0.16380285754406246,30.0,44.0,0.7597552025278074,0.3660724509170249,1.2204385368615291
